path;rouge2;rougel;bleu;bertscore
intermediate/1_1.txt;0.09904761904761905;0.1555977229601518;0.011014714612768034;0.6833460927009583
intermediate/1_2.txt;0.013856812933025405;0.059770114942528735;0.0;0.6470003724098206
intermediate/1_3.txt;0.0;0.0;0.0;0.6685588359832764
intermediate/1_4.txt;0.0;0.02112676056338028;0.0;0.667559802532196
intermediate/1_5.txt;0.016877637130801686;0.07983193277310924;0.0;0.5913717150688171
intermediate/1_6.txt;0.024630541871921183;0.10784313725490197;0.0;0.642583966255188
intermediate/1_7.txt;0.029126213592233007;0.15458937198067632;0.0;0.6870487928390503
intermediate/1_8.txt;0.04092071611253197;0.13740458015267176;0.0;0.6811487674713135
intermediate/1_9.txt;0.0;0.010403120936280884;0.0;0.6217883229255676
intermediate/1_10.txt;0.0;0.0030581039755351682;0.0;0.6040078997612
intermediate/2_1.txt;0.1341176470588235;0.22065727699530516;0.040848133663934846;0.7133941650390625
intermediate/2_2.txt;0.0;0.029239766081871343;0.0;0.6575003862380981
intermediate/2_3.txt;0.0;0.0;0.0;0.5502341985702515
intermediate/2_4.txt;0.0;0.02112676056338028;0.0;0.661043643951416
intermediate/2_5.txt;0.01020408163265306;0.022650056625141565;0.0;0.5918466448783875
intermediate/2_6.txt;0.0;0.0;0.0;0.5513056516647339
intermediate/2_7.txt;0.0032232070910556006;0.0337892196299276;0.0;0.5377858877182007
intermediate/2_8.txt;0.0;0.0;0.0;0.6611936688423157
intermediate/2_9.txt;0.0;0.0065146579804560255;0.0;0.6418961882591248
intermediate/2_10.txt;0.0;0.0;0.0;0.6545800566673279
intermediate/3_1.txt;0.051172707889125806;0.11040339702760085;0.0;0.6591756343841553
intermediate/3_2.txt;0.0;0.022641509433962263;0.0;0.6793315410614014
intermediate/3_3.txt;0.0;0.0;0.0;0.5679254531860352
intermediate/3_4.txt;0.0;0.010178117048346057;0.0;0.6371262073516846
intermediate/3_5.txt;0.0;0.014184397163120569;0.0;0.605337917804718
intermediate/3_6.txt;0.0;0.007936507936507938;0.0;0.6451117396354675
intermediate/3_7.txt;0.0008988764044943818;0.010776829815895821;0.0;0.6066311597824097
intermediate/3_8.txt;0.05517241379310345;0.13698630136986303;0.0;0.626092791557312
intermediate/3_9.txt;0.0;0.01282051282051282;0.0;0.6331333518028259
intermediate/3_10.txt;0.0;0.011331444759206798;0.0;0.6280632615089417
intermediate/4_1.txt;0.0;0.008385744234800839;0.0;0.6526768207550049
intermediate/4_2.txt;0.013559322033898305;0.03367003367003367;0.0;0.6323626041412354
intermediate/4_3.txt;0.0;0.0;0.0;0.5679254531860352
intermediate/4_4.txt;0.0;0.020833333333333336;0.0;0.6588078141212463
intermediate/4_5.txt;0.0;0.016842105263157894;0.0;0.4831075668334961
intermediate/4_6.txt;0.0;0.0;0.0;0.6560527682304382
intermediate/4_7.txt;0.0033388981636060105;0.1064891846921797;0.0;0.5867645740509033
intermediate/4_8.txt;0.045845272206303724;0.14245014245014245;0.0;0.6380099654197693
intermediate/4_9.txt;0.0;0.007648183556405353;0.0;0.6211698651313782
intermediate/4_10.txt;0.0;0.0;0.0;0.5988315939903259
intermediate/5_1.txt;0.045351473922902494;0.09029345372460497;0.0;0.5824465751647949
intermediate/5_2.txt;0.0;0.02054794520547945;0.0;0.6454969644546509
intermediate/5_3.txt;0.022727272727272724;0.10526315789473685;0.0;0.5756344795227051
intermediate/5_4.txt;0.0;0.008196721311475409;0.0;0.6792587041854858
intermediate/5_5.txt;0.0;0.012012012012012012;0.0;0.49525734782218933
intermediate/5_6.txt;0.0;0.0;0.0;0.564067542552948
intermediate/5_7.txt;0.0;0.015810276679841896;0.0;0.5818305015563965
intermediate/5_8.txt;0.013888888888888888;0.0684931506849315;0.0;0.6331915259361267
intermediate/5_9.txt;0.0;0.003879728419010669;0.0;0.5772059559822083
intermediate/5_10.txt;0.0;0.0021834061135371182;0.0;0.5582853555679321
intermediate/6_1.txt;0.017094017094017092;0.04024390243902439;0.0;0.5688519477844238
intermediate/6_2.txt;0.0;0.013986013986013986;0.0;0.6212146878242493
intermediate/6_3.txt;0.0;0.018691588785046728;0.0;0.5279788374900818
intermediate/6_4.txt;0.0;0.018957345971563982;0.0;0.6697507500648499
intermediate/6_5.txt;0.0;0.005162622612287042;0.0;0.48775818943977356
intermediate/6_6.txt;0.0;0.005706134094151214;0.0;0.475367933511734
intermediate/6_7.txt;0.013513513513513513;0.053987730061349694;0.0;0.586340606212616
intermediate/6_8.txt;0.024691358024691357;0.10975609756097561;0.0;0.656406581401825
intermediate/6_9.txt;0.0;0.016260162601626015;0.0;0.6306772232055664
intermediate/6_10.txt;0.0;0.007874015748031496;0.0;0.6221272349357605
