path;rouge2;rougel;bertscore
1;0.06716417910447761;0.17777777777777778;0.1607515513896942
2;0.09200968523002422;0.16867469879518074;0.038440268486738205
3;0.07326007326007326;0.1818181818181818;0.0861058309674263
4;0.14482758620689656;0.22602739726027396;0.2082260549068451
5;0.0967741935483871;0.24799999999999997;0.26223087310791016
6;0.12096774193548387;0.184;0.2402578443288803
7;0.02543720190779014;0.11410459587955625;-0.21905577182769775
8;0.06511627906976744;0.21198156682027647;0.09446693956851959
9;0.013793103448275862;0.04081632653061224;-0.13781686127185822
10;0.02463054187192118;0.051597051597051594;-0.49522560834884644
11;0.013793103448275862;0.04081632653061224;-0.13781686127185822
12;0.012048192771084336;0.05952380952380952;-0.8550527691841125
13;0.06511627906976744;0.20276497695852536;0.18881697952747345
14;0.09459459459459459;0.18791946308724836;0.10079065710306168
15;0.028268551236749116;0.10526315789473685;-0.3096153438091278
16;0.01764705882352941;0.15789473684210528;-0.126870259642601
17;0.0;0.05128205128205128;-0.28150680661201477
18;0.0;0.049079754601226995;-0.17465625703334808
19;0.0;0.06711409395973153;-0.04254860058426857
20;0.0;0.01699029126213592;-0.6992893218994141
21;0.0;0.0;-0.291986882686615
22;0.0;0.0;-0.291986882686615
23;0.0;0.0;-0.291986882686615
24;0.04424778761061947;0.19383259911894274;-0.0888594388961792
25;0.03954802259887006;0.11797752808988764;-0.06754399091005325
26;0.022610483042137718;0.05128205128205128;-0.6014041304588318
27;0.11398963730569947;0.18556701030927833;0.10948479920625687
28;0.08695652173913043;0.17302798982188297;0.03955696523189545
29;0.1044776119402985;0.19306930693069307;0.04258568212389946
30;0.014507772020725389;0.06825232678386764;-0.6579746603965759
31;0.0641711229946524;0.16489361702127658;-0.030431967228651047
32;0.010235414534288638;0.02860061287027579;-0.7352387309074402
33;0.14553014553014554;0.2236024844720497;0.08117745816707611
34;0.02534562211981567;0.12873563218390804;-0.3182670772075653
35;0.01323042998897464;0.11221122112211222;-0.39200377464294434
36;0.08086253369272237;0.18230563002680963;0.12316381931304932
37;0.06842105263157895;0.20942408376963348;0.07453907281160355
38;0.13759213759213762;0.20048899755501226;0.14622530341148376
39;0.0934065934065934;0.18579234972677594;0.13276135921478271
40;0.07650273224043715;0.2395644283121597;-0.06228893995285034
41;0.007905138339920948;0.07621550591327202;-0.3711368441581726
42;0.008849557522123894;0.01754385964912281;-0.24185943603515625
43;0.037333333333333336;0.08488063660477455;-0.339202880859375
44;0.00796812749003984;0.07114624505928853;-0.31989163160324097
45;0.009174311926605505;0.027272727272727275;-0.14134778082370758
46;0.013559322033898306;0.08754208754208755;-0.30759134888648987
47;0.009049773755656108;0.017937219730941704;-0.2355971783399582
48;0.005772005772005772;0.10071942446043167;-0.4491422176361084
49;0.00851063829787234;0.03375527426160338;-0.1664886772632599
50;0.008888888888888889;0.026431718061674006;-0.18773137032985687
51;0.008658008658008658;0.034334763948497854;-0.08524199575185776
52;0.03862068965517241;0.07977991746905089;-0.14397388696670532
53;0.008888888888888889;0.026431718061674006;-0.1847987025976181
54;0.04;0.09523809523809525;-0.059050798416137695
55;0.0;0.00909090909090909;-0.38018733263015747
56;0.0022197558268590455;0.017718715393133997;-0.631523847579956
57;0.04366812227074236;0.08658008658008658;-0.07563069462776184
58;0.008771929824561403;0.017391304347826087;-0.3309226632118225
59;0.05365853658536585;0.15048543689320387;-0.19323362410068512
60;0.02316602316602317;0.11494252873563218;-0.08390633761882782
